fips_code,years,y_true,lr_preds,ffill_preds,yr_mean_preds,county_mean_preds,euc_preds,hav_preds,euc_exp_smooth_preds,hav_exp_smooth_preds,k_Nearest_One_pred,k5_Nearest_Mean_pred,k5_Weighted_pred,kRad_Mean_pred
37061,2015,105.1,106.29170426065161,131.9,83.64782608695651,161.56754716981126,141.80618310093718,142.5792925772239,108.69618951430543,109.82273280729859,93.6,93.79999999999998,92.8354822772798,97.27058823529413
37065,2012,108.7,95.41456250771307,79.5,79.18043478260869,117.29074778200246,110.5092512530657,110.50155069438716,100.3997788018632,101.00450071417613,110.0,91.06,91.38298975660979,110.7818181818182
37073,2012,111.4,110.28844872269497,62.0,89.57391304347826,117.29074778200246,113.0074324574597,113.00851204171222,111.92179257558182,113.62166385442487,93.0,124.67999999999999,122.74842688096973,105.63636363636364
37079,1990,62.0,85.20423418095811,91.0,87.87608695652173,109.4997487437185,92.94475740187167,93.37271293642036,67.49328523424515,67.6504731012137,60.0,61.2,60.72555494831603,69.36842105263158
37081,1990,46.0,72.19953873447662,92.0,75.11521739130434,109.4997487437185,95.36097515129703,96.03082012524438,66.7675811280455,68.51566022564545,61.0,55.0,54.01953133717359,57.69230769230769
37083,1988,74.0,73.80915985306297,49.0,76.80434782608695,78.64467005076148,75.68974192208655,75.979068325415,77.10044311029637,77.6764831116207,83.0,78.8,78.79321109423273,83.3913043478261
37097,2010,89.1,114.59496024464806,108.0,84.64347826086956,142.42332065906206,124.73521021758863,124.66387796173433,98.13698034780529,97.40257609545499,97.0,89.66,89.00850108378951,88.48571428571428
37107,1986,84.0,81.29208556149729,59.0,88.45869565217392,109.79319899244337,91.67697373918712,92.48466950465887,76.35063430762014,76.70958022866789,76.0,76.4,75.97322342743409,75.3157894736842
37117,1994,70.0,85.20894481862229,65.0,84.71521739130435,129.3335868187579,111.09880527717358,112.09574255671149,81.51985427290764,82.20318259887235,68.0,69.6,69.29565547566357,79.66666666666667
37131,2013,134.8,104.31865079365093,94.0,84.19347826086957,156.51662436548227,151.4674670245567,151.99087076759605,134.8993234389691,135.4155117917442,109.2,127.4,123.3320926751377,145.7125
37133,1991,97.0,83.56770685579204,53.0,85.61956521739128,101.6375939849625,94.44689078255053,94.90338760202604,90.18061097672846,90.35622923901808,89.0,96.6,95.49687648023425,88.35714285714286
37135,2001,102.0,90.2914285714287,98.0,79.63913043478261,131.6332493702771,125.75636409229962,126.31221093223483,116.61905716109324,116.974674528488,105.0,107.8,106.07545228215369,111.16666666666667
37137,2004,112.0,122.03822366055374,91.0,107.35000000000002,150.16362484157176,139.2288440638202,139.54165286557932,121.9677152393519,120.75417647324721,104.0,113.2,113.5598750682143,117.83333333333333
37143,2015,138.6,136.53075187969898,151.1,110.01956521739132,161.56754716981126,147.58022284109043,147.73488262139102,134.62386483714303,133.16417232961513,142.0,136.44,135.6025796315318,120.88999999999999
37147,1973,87.0,65.84389880952358,90.0,81.09347826086957,85.06787500000002,84.13914986740949,84.25813676980376,86.77025990493948,87.11837631937948,96.0,89.6,89.88674785790288,89.9090909090909
37151,2002,45.0,90.24129786472668,123.0,79.31521739130436,115.3087499999999,92.71706412031546,93.81109971892418,62.13761937108471,63.60024936750287,53.0,50.4,49.37371329776808,53.125
37157,2001,80.0,82.35123809523793,94.0,73.1804347826087,131.6332493702771,126.14264033131053,126.80734161526276,115.72481467096914,116.69674774042035,105.0,107.8,107.22125582541257,115.66666666666667
37159,2008,113.0,106.32761257434095,86.0,82.8108695652174,140.35759096612296,120.54416510394198,121.43788924133062,96.17272862089771,96.92790569043731,102.0,92.6,92.35996948431442,90.875
37167,1991,101.0,83.5027186761231,50.0,86.38260869565217,101.6375939849625,93.91189368821631,94.28166585016862,86.94550938371812,87.24979973810152,88.0,84.8,84.96694892457013,85.035
37171,1979,75.0,66.22493952588275,76.0,95.49782608695654,102.22770186335399,96.2825949453626,96.67162567277492,84.694946300343,85.18785433700145,85.0,75.8,77.91194488412864,72.78571428571429
37179,1971,66.0,56.80794486215518,28.0,85.36304347826086,80.83089533417407,73.38515433252711,73.70652334703864,60.222144364434484,60.898314862609496,66.0,55.1,55.31465346799735,55.31052631578948
37191,2010,59.7,102.41329663608576,106.0,85.5608695652174,142.42332065906206,114.94952369882323,116.13803652144834,74.99390442970667,75.59749793199599,48.0,59.14,59.75900188979343,68.8611111111111
37195,1997,89.0,90.33825757575778,98.0,85.72608695652174,117.3501891551072,103.78394107189955,104.4349188201409,87.3974278222003,88.05208414320958,88.0,84.6,84.4420766164493,81.9
