,fips_code,longitude,latitude
139,48443,-102.076491095,30.224999461
140,48453,-97.7819632244,30.3346937807
141,48467,-95.8364954069,32.5637131721
142,48471,-95.5722897263,30.7390234943
143,48477,-96.4034447361,30.2145252421
144,48481,-96.2220961609,29.277881113
145,48495,-103.048340658,31.8500606071
146,48499,-95.3820748062,32.7864063714
147,49001,-113.235465927,38.3569593013
148,49003,-113.082118827,41.5209664319
149,49013,-110.425167494,40.2982282384
150,49015,-110.700610616,38.9967486792
151,49019,-109.569856585,38.9819731719
152,49025,-111.887835644,37.285070934
153,49045,-113.13109919,40.4487581024
154,50027,-72.586225435,43.5800154352
155,21181,-84.0153012078,38.3355481515
156,21189,-83.6831037818,37.4192090468
157,21195,-82.3957709773,37.4691036726
158,21235,-84.1451812878,36.758093219
159,21237,-83.493164767,37.7393183718
160,22005,-90.911303828,30.2035454677
161,22011,-93.3433667329,30.6484572325
162,22013,-93.0559797705,32.3471707287
163,22015,-93.6050452313,32.6789240196
164,22025,-91.8470568169,31.6661773157
165,22029,-91.6400712031,31.445853805
166,22059,-92.1604033086,31.6767044756
167,22063,-90.7278946994,30.4401487383
168,22069,-93.0962235748,31.7235370758
169,22073,-92.1548647764,32.4783197873
170,22079,-92.5331861443,31.1986252152
171,22097,-92.0058592503,30.5988473256
172,22113,-92.3238077833,29.846546584
173,22119,-93.3349740824,32.7134694947
174,22123,-91.4567718178,32.7884954753
175,23023,-69.8545669541,43.9597718082
176,23027,-69.1454089339,44.5027521478
177,24003,-76.6050685407,39.0064658657
178,24009,-76.5686800723,38.5433650606
179,24011,-75.8315531786,38.871711799
180,24023,-79.2738222185,39.5285960514
181,24025,-76.3170559977,39.5610925535
182,24027,-76.931189047,39.2507230657
183,24043,-77.8139528424,39.6036067144
184,25001,-70.2914904216,41.724178612
185,26013,-88.3651721,46.6626716325
186,26041,-86.9242486702,45.9190803074
187,26071,-88.530478363,46.2087045024
188,26141,-83.917618635,45.3401835712
189,26147,-82.6805400745,42.9340668567
190,26163,-83.2820985046,42.2818866576
191,27011,-96.4109407187,45.4261020279
192,27015,-94.7276012906,44.2421378661
193,27021,-94.3253639205,46.9495979394
194,27031,-90.5346352903,47.902567376
195,27059,-93.2951355006,45.5614867232
196,27069,-96.7828552032,48.7766388341
197,27075,-91.4457454199,47.6409390514
198,27137,-92.4706531692,47.6031640003
199,27171,-93.9630447768,45.1739478883
200,28007,-89.5815218155,33.0862625293
201,28011,-90.8803612597,33.7955818147
202,28021,-90.9117738178,31.973665109
203,28051,-90.0920553281,33.1235351048
204,28101,-89.1187943179,32.4002389494
