fips_code,years,y_true,lr_preds,ffill_preds,yr_mean_preds,county_mean_preds,euc_idw1_preds,hav_idw1_preds,euc_idw2_preds,hav_idw2_preds,k1_Nearest_pred,k5_Nearest_pred,k5_Weighted_pred,kRad_Mean_pred
22067,2003,27.9,36.7799716306763,27.7,28.961702127659574,33.97749196141477,35.135015195022135,35.223355590626284,36.94450007772214,37.152971716364696,37.0,37.4,37.66818729620589,37.89411764705882
22077,2002,37.8,41.857231732076684,40.3,37.47234042553191,38.05431309904151,35.51662718366135,35.37904022290482,30.615778542711453,30.521025011043324,28.8,28.880000000000003,28.545483647589815,29.1
22079,1990,31.7,32.42324828390099,26.9,33.806382978723406,35.05136876006446,31.92762337258187,31.792536597315546,27.148605919740735,26.905847834576626,25.4,22.66,22.955147350164925,27.914285714285715
22097,1997,29.5,30.603263825929275,33.0,29.52127659574468,39.48887122416534,36.95058262489468,36.90446648206411,32.97748232782858,33.22435418026464,40.1,32.6,32.89794680158211,29.82857142857143
22099,1979,28.8,25.485586182107113,21.9,29.65744680851064,33.08853503184712,32.13162197008718,32.09654611315898,30.608906822600698,30.527476617127324,33.5,29.26,29.71623195627094,29.55
24025,1996,36.7,36.99505389863725,29.2,35.680851063829785,37.746909667194885,36.8604627253869,36.975438814895895,37.35513201345182,37.403854545677504,40.1,37.160000000000004,38.12766841672298,37.95
24029,1987,21.0,32.04541370412301,33.0,34.92553191489362,34.936261980830636,32.95371579997449,33.39469924099836,29.204973801811917,29.89191515820436,35.0,23.6,26.46188592106403,22.833333333333332
24045,2013,35.0,35.03597870329287,39.1,30.870212765957447,45.61679999999997,44.938390200910646,45.05571655668687,41.91762422409961,42.12294636445317,41.4,41.040000000000006,40.927962532038116,41.309090909090905
26005,2008,35.5,42.9913392232163,39.0,34.836170212765964,40.40192926045016,40.12424758832381,40.10537020929527,38.222334106498685,37.9099109082157,31.5,35.1,34.38477135594749,34.8
26015,1990,35.5,32.89137417432971,42.0,34.808510638297875,35.05136876006446,37.55418797240758,37.665159217726256,38.61667487348725,38.745490571447654,39.6,38.720000000000006,38.67403990319408,38.13666666666666
26023,2014,42.1,44.407800538770175,45.5,34.72127659574468,48.73301886792454,49.46240505740766,49.40530640549987,47.28139749660702,47.27944277061088,43.4,42.38000000000001,42.34562761676848,48.74545454545455
26025,1993,38.6,33.48788595502492,36.1,33.72127659574468,33.290634920634915,37.14165199500503,36.866442367820305,38.79998023247666,38.400385269855995,39.7,36.10000000000001,36.26900371572198,38.38378378378379
26027,1999,30.0,37.484056063330854,35.0,34.693617021276594,37.15977742448327,38.4963606357152,38.813381052458354,39.068258303691216,39.209668942543246,38.0,37.72,37.795300676633666,38.96578947368422
26037,2015,52.3,44.645284047753535,44.4,34.48085106382978,50.004166666666656,49.96072580455653,50.15367768000421,49.65327666681624,49.852424967387066,52.3,51.339999999999996,51.43280341819103,48.58
26045,1991,45.0,34.74422091969734,39.6,35.93191489361702,35.05191082802546,37.34754670232458,37.429758281022146,39.842247836821855,40.14476259812272,46.7,43.72,43.85370427173299,39.166666666666664
26049,1983,32.8,26.070485792850604,31.2,30.412765957446805,27.995087163232967,29.998630360912074,30.160394395545048,32.0395619486474,32.05638777205803,32.7,33.54,33.436387549498285,32.12916666666667
26057,1987,37.2,32.79583975346691,32.3,35.83191489361702,34.936261980830636,36.13355997955908,36.35814791621179,36.15272006937309,36.27686730496711,36.9,36.02,36.03561335392449,35.13333333333333
26059,1988,27.9,31.35541444965611,31.5,34.0531914893617,26.80221518987341,26.78583500561185,26.843256707000634,26.349979653938455,26.526247091802382,25.6,26.24,26.172423615595196,25.970212765957445
26063,1976,16.0,23.885620565002,23.6,35.49148936170213,25.384810126582277,26.087466822335664,25.88215859712764,23.495006051211618,23.42940969454999,18.7,19.540000000000003,19.370251159466903,19.733333333333338
26065,1970,26.0,24.053283996299683,22.0,36.261702127659575,26.056514913657793,26.917089456490427,26.899896476665184,26.01587176598104,26.032805312648613,25.0,24.78,24.776314686269885,25.681081081081082
26067,1994,40.9,37.06086956521767,41.4,36.774468085106385,41.67503974562798,41.98188628138644,42.07099034005942,40.20388933399957,40.08662320187487,36.5,38.18,38.17993485874913,37.49629629629629
26073,1975,28.2,23.803124819943605,24.4,34.12978723404255,28.442607313195552,28.94752028032719,28.85190330343771,27.71050358223331,27.629075239535627,28.4,26.5,26.719927711143917,24.116666666666667
26075,2006,44.0,37.90946731098279,37.0,32.4,43.32171156893822,45.47124124460902,45.546437283683936,46.488271749789156,46.40910884938905,47.0,45.8,45.89670397051388,45.98571428571429
26077,2004,41.0,41.24751865915937,31.0,34.95531914893617,43.29999999999997,44.73511440114355,44.57046961521033,44.71394881258212,44.342993791850425,44.0,42.4,42.44136379316049,44.72571428571429
26087,1991,35.5,31.053880147181076,33.0,32.3936170212766,35.05191082802546,36.46347942101977,36.63342500440805,36.99213650184037,37.137576151271425,36.2,35.980000000000004,36.04387390622585,38.4047619047619
26091,2002,32.0,41.18831746977855,30.0,37.6468085106383,38.05431309904151,37.468866263508026,37.80509755837532,35.97902316182079,36.15239053633512,34.0,33.480000000000004,33.62472936496317,35.21333333333333
26093,2005,35.0,39.1361317906501,42.0,32.631914893617015,43.57907348242812,43.157773089142474,43.275823345728895,40.52378750055621,40.43824632672313,37.0,37.0,37.01821329114739,40.1235294117647
26099,2010,38.0,39.61494846342907,39.0,33.365957446808515,45.21712,45.51075598213319,45.69233112854757,43.406566319189906,43.43656233757703,37.2,40.10000000000001,39.59067214635716,42.50952380952381
26111,1978,27.9,27.96160709201024,33.2,35.329787234042556,30.330351437699715,29.707502434389394,29.805837533599842,26.776720819734223,26.59689010636216,22.6,24.360000000000003,24.470654339146233,22.789473684210524
26115,1977,33.1,27.276455122220796,20.5,35.193617021276594,32.12605965463107,33.229134149393374,33.36329206514793,33.55421756374895,33.63219672947909,28.1,34.36,33.75755986773986,33.88421052631579
26117,2001,31.0,34.38189390699665,32.0,31.470212765957445,39.45314465408802,39.437319751167905,39.18693787302015,37.304851788695444,36.53715983595247,41.0,33.0,33.83212482217054,31.523809523809526
26145,2015,52.1,43.64574561318091,43.2,34.59787234042553,50.004166666666656,49.982149837687594,50.183069914448694,49.73387453221166,49.956161850803596,52.3,51.120000000000005,50.98608700839286,48.6
26147,1993,36.1,32.08818344758765,27.5,32.319148936170215,33.290634920634915,35.84976095232679,35.75941704163378,36.45746941757379,36.36350755125982,35.4,35.3,35.031047404807275,37.1
26149,2010,49.6,46.66366719378129,42.0,36.12553191489362,45.21712,46.55259697490255,46.69330140086153,46.85289537488122,46.73475262270642,46.6,46.32000000000001,46.488167248631804,45.6125
26151,1999,44.0,37.269613823022155,41.0,33.88297872340426,37.15977742448327,38.115757231239925,38.53515613570201,39.72850531965459,40.02226252986343,40.0,41.0,41.02893633557694,41.285714285714285
26155,2016,47.3,42.35183329091865,52.3,32.400000000000006,53.80460317460318,53.76262418774071,53.92219950645452,51.98985825610258,51.89705009027135,41.8,50.260000000000005,50.09097367610419,50.975
26157,2013,44.1,45.606298346804465,51.7,35.53617021276595,45.61679999999997,46.155276004820855,45.980333991223056,45.08510501330531,44.91734552156251,41.3,43.86,43.83238136774251,43.42631578947368
26161,1999,40.0,35.02298151615719,45.0,32.52978723404256,37.15977742448327,38.056607965339204,38.37699491274199,38.8982288530471,39.048417288589484,41.0,40.0,39.7835650057954,39.21052631578947
27009,1982,28.0,24.37389690025691,25.0,29.27021276595745,32.68482428115015,32.98713847489344,32.771245372742335,32.2208208289349,31.397827377818103,27.0,29.6,29.132270897987066,31.66896551724138
27011,2004,33.0,37.54550216053417,27.0,31.189361702127663,43.29999999999997,40.70703791180636,40.53262781001362,35.40266665906419,35.107237981014435,33.0,32.2,32.23843887355067,32.525
27013,1988,33.0,38.48156065184742,44.0,41.306382978723406,26.80221518987341,27.60532767374762,27.62898090221497,28.925053313828307,28.990493852823292,25.0,30.4,30.450392393445505,29.58775510204082
27015,2006,52.0,45.81502735836625,52.0,39.26382978723404,43.32171156893822,46.12256484669681,46.37621519539079,49.23117017741016,49.46549376864994,52.0,52.6,52.468177560840545,49.84255319148936
27019,2015,58.5,49.35012756344088,34.3,38.638297872340424,50.004166666666656,52.549683311387255,52.52918474025066,54.73039286428296,54.52175891665565,57.9,55.3,55.42152453372967,54.44500000000001
27023,2016,52.3,49.2000430671651,50.3,35.56808510638297,53.80460317460318,55.43907831622002,55.45146864814241,55.45510148110587,55.3297629593761,55.5,55.02,55.08759937801027,54.699999999999996
27025,1994,28.0,27.52550860141548,19.0,27.31276595744681,41.67503974562798,42.41629313280486,42.141433403617334,40.54576048366489,39.67079414825815,32.0,37.0,36.8543380066438,39.0
27027,1986,35.0,25.725640072141687,23.0,28.965957446808513,34.422698412698416,35.16767786621785,35.20932537533329,33.882983196193024,34.15461718777435,31.0,33.519999999999996,33.45631474347167,32.82857142857143
27033,2010,46.5,48.16646788728633,47.0,39.259574468085106,45.21712,47.57264013925453,47.797211206061775,49.24234704480753,49.36565634651601,48.7,49.980000000000004,49.93373281348997,49.875
27037,1989,40.0,35.135832145039785,23.0,37.5936170212766,32.91799363057321,35.23472803389397,35.34208242088611,37.34438320600735,37.47995028434196,41.0,39.4,39.65352226584345,36.37619047619047
27039,2007,51.0,48.21530352461946,53.0,38.94468085106383,41.853174603174615,44.625266813346116,44.81034646369854,47.10917755967171,47.42075239848407,52.0,49.4,49.78567333882802,47.13181818181818
27041,2010,41.0,38.136391868462624,33.0,29.52765957446809,45.21712,46.16388756318702,46.11544107864006,44.58261103862512,44.15779122279434,41.9,41.379999999999995,41.32576821180011,42.9375
27043,2001,35.0,45.62780990275746,46.0,41.659574468085104,39.45314465408802,39.961896945918724,40.008010074561,39.742699307569346,39.63633403778733,37.2,37.64,37.62877148400309,40.03076923076923
27045,2017,53.7,54.183718778908315,57.8,39.13404255319149,50.97823343848581,52.25863127952794,52.26030397857829,52.98338058798705,53.0149488764778,51.2,53.56,53.437922641230294,53.7375
27047,2003,36.0,45.461283338621456,51.0,40.37021276595745,33.97749196141477,32.643280978097124,32.7487473219477,32.23133499121447,32.409468072773016,33.0,33.1,33.10015167532594,31.822641509433964
27049,1989,42.0,37.06803459323328,29.0,40.02553191489361,32.91799363057321,35.27962705856383,35.435036046205695,37.20950409164086,37.47301356839323,40.0,39.36,39.315876422364944,36.98780487804878
27051,1984,29.0,26.43528248007624,33.0,32.03829787234043,29.049920255183412,29.235664627832165,29.36363754953798,29.52396281051752,29.34459268996971,34.0,29.2,29.698349795647466,27.666666666666668
27053,2013,35.2,45.13506240475317,43.2,35.06382978723404,45.61679999999997,43.508278541073025,43.411689639759146,40.22848902343309,39.79746739712819,41.7,36.81999999999999,37.294964557597446,38.6918918918919
27059,2013,25.4,32.368535272671124,32.1,26.323404255319154,45.61679999999997,43.067590807708385,42.7492788627705,36.88256575685242,35.40576220073022,24.2,27.76,27.138621080770832,35.11153846153846
27063,2013,47.1,49.504187966588916,48.0,39.763829787234044,45.61679999999997,45.50826862212133,45.69880955972651,46.430078150544944,46.69162109098971,44.7,48.44,48.186570706291604,47.33877551020408
27067,1988,24.0,33.10875062570699,37.0,36.178723404255315,26.80221518987341,26.29634108139969,26.021946317625762,24.341628552116536,23.638192496137194,22.0,20.6,20.694683174234388,21.714285714285715
27073,1983,29.0,27.563035223255383,28.0,33.84893617021277,27.995087163232967,30.010070090400838,30.247967468768866,31.252918686542635,31.36277564765314,32.0,31.139999999999997,31.182478487561887,31.580645161290324
27079,2004,39.0,44.88317402121254,34.0,39.68936170212766,43.29999999999997,42.18071921621678,41.98361297201116,39.96753781519008,39.722511489973826,38.0,38.6,38.63237402163755,37.65957446808511
27083,2002,44.0,41.09377130404005,40.0,36.39148936170213,38.05431309904151,41.129433331999074,41.40785941109127,42.92713203615147,43.130086741471786,42.0,43.8,43.648411005531436,43.592499999999994
27085,1981,33.0,32.376060019179135,33.0,37.851063829787236,32.245238095238115,33.63914639958652,33.537726962745,34.165259834535796,34.14236668847081,36.0,36.2,36.47259501231974,31.3
27091,1996,43.0,42.89667178226057,46.0,41.68723404255319,37.746909667194885,39.94496079455107,39.961940848539676,41.746347778110724,41.708930274712046,43.0,42.64,42.6498274110573,42.803999999999995
27093,2013,43.7,43.66272883350371,44.7,34.787234042553195,45.61679999999997,44.078561110302935,43.94863348617381,42.27963184806303,42.044208071415305,47.1,41.54,41.6457286575031,40.94864864864864
27095,2010,42.5,34.73622992360015,37.5,28.15531914893617,45.21712,46.81321239854301,46.71121924307123,46.27076388476718,45.759618487786184,42.8,43.21999999999999,42.48609738369049,46.06190476190476
27099,1987,43.0,34.701145413704126,36.0,38.751063829787235,34.936261980830636,38.639679754901024,38.77004755801239,41.67862480719314,41.673599833027446,43.7,42.739999999999995,42.77644115597109,43.006122448979596
27101,1996,38.0,39.29484311151373,40.0,37.808510638297875,37.746909667194885,39.58359717825059,39.55145360996422,40.638041837747856,40.58838094221484,40.0,41.6,41.4422342466745,40.848837209302324
27103,1985,38.0,36.92438020377381,40.0,41.17659574468085,34.81380952380948,34.69487420338953,34.66334224339379,34.80852488296287,34.64810880997537,36.0,37.2,37.002923509260725,32.791666666666664
